Name,SHENZHEN SE COMPOSITE - PRICE INDEX,,,,,,,,
CURRENCY,CH,,,,,,,,
03/04/1991,100,,,,,,,,
04/04/1991,99.5,,,,,,,,
05/04/1991,99.01,,,,,,,,
08/04/1991,98.23,,,,,,,,
09/04/1991,97.54,,,,,,,,
10/04/1991,97.03,,,,,,,,
11/04/1991,96.54,,,,,,,,
12/04/1991,96.07,,,,,,,,
15/04/1991,95.13,,,,,,,,
16/04/1991,94.66,,,,,,,,
17/04/1991,94.2,,,,,,,,
18/04/1991,93.73,,,,,,,,
19/04/1991,93.27,,,,,,,,
22/04/1991,92.34,,,,,,,,
23/04/1991,91.87,,,,,,,,
24/04/1991,91.42,,,,,,,,
25/04/1991,90.97,,,,,,,,
26/04/1991,90.52,,,,,,,,
29/04/1991,89.62,,,,,,,,
30/04/1991,89.17,,,,,,,,
01/05/1991,89.17,,,,,,,,
02/05/1991,88.72,,,,,,,,
03/05/1991,88.27,,,,,,,,
06/05/1991,87.38,,,,,,,,
07/05/1991,86.95,,,,,,,,
08/05/1991,86.52,,,,,,,,
09/05/1991,86.08,,,,,,,,
10/05/1991,85.65,,,,,,,,
13/05/1991,84.79,,,,,,,,
14/05/1991,84.48,,,,,,,,
15/05/1991,84.21,,,,,,,,
16/05/1991,83.93,,,,,,,,
17/05/1991,83.67,,,,,,,,
20/05/1991,83.09,,,,,,,,
21/05/1991,82.81,,,,,,,,
22/05/1991,82.52,,,,,,,,
23/05/1991,82.11,,,,,,,,
24/05/1991,81.71,,,,,,,,
27/05/1991,80.9,,,,,,,,
28/05/1991,80.5,,,,,,,,
29/05/1991,80.11,,,,,,,,
30/05/1991,79.72,,,,,,,,
31/05/1991,79.33,,,,,,,,
03/06/1991,78.55,,,,,,,,
04/06/1991,78.16,,,,,,,,
05/06/1991,77.78,,,,,,,,
06/06/1991,77.39,,,,,,,,
07/06/1991,77,,,,,,,,
10/06/1991,73.79,,,,,,,,
11/06/1991,75.76,,,,,,,,
12/06/1991,75.39,,,,,,,,
13/06/1991,74.7,,,,,,,,
14/06/1991,73.72,,,,,,,,
17/06/1991,72.35,,,,,,,,
18/06/1991,72.3,,,,,,,,
19/06/1991,71.91,,,,,,,,
20/06/1991,71.23,,,,,,,,
21/06/1991,70.69,,,,,,,,
24/06/1991,69.32,,,,,,,,
25/06/1991,71.92,,,,,,,,
26/06/1991,72.44,,,,,,,,
27/06/1991,72.55,,,,,,,,
28/06/1991,72.51,,,,,,,,
01/07/1991,71.63,,,,,,,,
02/07/1991,69.96,,,,,,,,
03/07/1991,69.84,,,,,,,,
04/07/1991,69.05,,,,,,,,
05/07/1991,67.83,,,,,,,,
08/07/1991,65.14,,,,,,,,
09/07/1991,63.24,,,,,,,,
10/07/1991,63.46,,,,,,,,
11/07/1991,63.02,,,,,,,,
12/07/1991,62.47,,,,,,,,
15/07/1991,61.61,,,,,,,,
16/07/1991,60.46,,,,,,,,
17/07/1991,59.82,,,,,,,,
18/07/1991,63.24,,,,,,,,
19/07/1991,64.52,,,,,,,,
22/07/1991,62.77,,,,,,,,
23/07/1991,62.63,,,,,,,,
24/07/1991,62.34,,,,,,,,
25/07/1991,61.87,,,,,,,,
26/07/1991,60.9,,,,,,,,
29/07/1991,60.3,,,,,,,,
30/07/1991,60.06,,,,,,,,
31/07/1991,60.14,,,,,,,,
01/08/1991,60.17,,,,,,,,
02/08/1991,60.11,,,,,,,,
05/08/1991,60.22,,,,,,,,
06/08/1991,59.98,,,,,,,,
07/08/1991,60.02,,,,,,,,
08/08/1991,59.7,,,,,,,,
09/08/1991,59.25,,,,,,,,
12/08/1991,59.18,,,,,,,,
13/08/1991,58.78,,,,,,,,
14/08/1991,58.6,,,,,,,,
15/08/1991,58.11,,,,,,,,
16/08/1991,58.88,,,,,,,,
19/08/1991,51.21,,,,,,,,
20/08/1991,50.35,,,,,,,,
21/08/1991,50.04,,,,,,,,
22/08/1991,49.18,,,,,,,,
23/08/1991,48.35,,,,,,,,
26/08/1991,49.58,,,,,,,,
27/08/1991,49.06,,,,,,,,
28/08/1991,49.06,,,,,,,,
29/08/1991,48.99,,,,,,,,
30/08/1991,48.83,,,,,,,,
02/09/1991,48.52,,,,,,,,
03/09/1991,48.29,,,,,,,,
04/09/1991,47.96,,,,,,,,
05/09/1991,47.35,,,,,,,,
06/09/1991,45.66,,,,,,,,
09/09/1991,46.25,,,,,,,,
10/09/1991,46.4,,,,,,,,
11/09/1991,47.71,,,,,,,,
12/09/1991,47.2,,,,,,,,
13/09/1991,47.15,,,,,,,,
16/09/1991,46.62,,,,,,,,
17/09/1991,46.48,,,,,,,,
18/09/1991,46.32,,,,,,,,
19/09/1991,46.06,,,,,,,,
20/09/1991,45.98,,,,,,,,
23/09/1991,46.04,,,,,,,,
24/09/1991,45.81,,,,,,,,
25/09/1991,46.07,,,,,,,,
26/09/1991,46.18,,,,,,,,
27/09/1991,46.5,,,,,,,,
30/09/1991,46.5,,,,,,,,
01/10/1991,46.5,,,,,,,,
02/10/1991,46.5,,,,,,,,
03/10/1991,49.48,,,,,,,,
04/10/1991,49.04,,,,,,,,
07/10/1991,55.1,,,,,,,,
08/10/1991,65.19,,,,,,,,
09/10/1991,77.76,,,,,,,,
10/10/1991,70.82,,,,,,,,
11/10/1991,73.1,,,,,,,,
14/10/1991,75.67,,,,,,,,
15/10/1991,72.24,,,,,,,,
16/10/1991,73.6,,,,,,,,
17/10/1991,73.6,,,,,,,,
18/10/1991,74.18,,,,,,,,
21/10/1991,73.73,,,,,,,,
22/10/1991,72.45,,,,,,,,
23/10/1991,73.16,,,,,,,,
24/10/1991,73.89,,,,,,,,
25/10/1991,74.25,,,,,,,,
28/10/1991,77.81,,,,,,,,
29/10/1991,79.92,,,,,,,,
30/10/1991,80.33,,,,,,,,
31/10/1991,86.18,,,,,,,,
01/11/1991,92.85,,,,,,,,
04/11/1991,102.87,,,,,,,,
05/11/1991,103.46,,,,,,,,
06/11/1991,99.06,,,,,,,,
07/11/1991,101.72,,,,,,,,
08/11/1991,103.68,,,,,,,,
11/11/1991,103.68,,,,,,,,
12/11/1991,128.39,,,,,,,,
13/11/1991,131.84,,,,,,,,
14/11/1991,136.94,,,,,,,,
15/11/1991,131.62,,,,,,,,
18/11/1991,104.2,,,,,,,,
19/11/1991,123.17,,,,,,,,
20/11/1991,122.12,,,,,,,,
21/11/1991,116.1,,,,,,,,
22/11/1991,119.93,,,,,,,,
25/11/1991,114.49,,,,,,,,
26/11/1991,106.74,,,,,,,,
27/11/1991,112.42,,,,,,,,
28/11/1991,107.5,,,,,,,,
29/11/1991,103.38,,,,,,,,
02/12/1991,100.03,,,,,,,,
03/12/1991,104.34,,,,,,,,
04/12/1991,104.87,,,,,,,,
05/12/1991,101.05,,,,,,,,
06/12/1991,102.7,,,,,,,,
09/12/1991,104.56,,,,,,,,
10/12/1991,105.74,,,,,,,,
11/12/1991,105.04,,,,,,,,
12/12/1991,103.18,,,,,,,,
13/12/1991,100.78,,,,,,,,
16/12/1991,102.82,,,,,,,,
17/12/1991,101.81,,,,,,,,
18/12/1991,101.83,,,,,,,,
19/12/1991,101.41,,,,,,,,
20/12/1991,101.13,,,,,,,,
23/12/1991,102.61,,,,,,,,
24/12/1991,110.48,,,,,,,,
25/12/1991,110.05,,,,,,,,
26/12/1991,106.57,,,,,,,,
27/12/1991,108.34,,,,,,,,
30/12/1991,109.23,,,,,,,,
31/12/1991,110.37,,,,,,,,
01/01/1992,110.37,,,,,,,,
02/01/1992,110.53,,,,,,,,
03/01/1992,110.17,,,,,,,,
06/01/1992,111.29,,,,,,,,
07/01/1992,112.9,,,,,,,,
08/01/1992,112.09,,,,,,,,
09/01/1992,112.74,,,,,,,,
10/01/1992,113.08,,,,,,,,
13/01/1992,111.97,,,,,,,,
14/01/1992,110.33,,,,,,,,
15/01/1992,109.21,,,,,,,,
16/01/1992,107.08,,,,,,,,
17/01/1992,108.36,,,,,,,,
20/01/1992,109.74,,,,,,,,
21/01/1992,108.6,,,,,,,,
22/01/1992,108.3,,,,,,,,
23/01/1992,109.07,,,,,,,,
24/01/1992,110.15,,,,,,,,
27/01/1992,109.32,,,,,,,,
28/01/1992,109.82,,,,,,,,
29/01/1992,110.98,,,,,,,,
30/01/1992,112.57,,,,,,,,
31/01/1992,114.7,,,,,,,,
03/02/1992,114.7,,,,,,,,
04/02/1992,114.7,,,,,,,,
05/02/1992,114.7,,,,,,,,
06/02/1992,114.7,,,,,,,,
07/02/1992,114.7,,,,,,,,
10/02/1992,114.46,,,,,,,,
11/02/1992,114.49,,,,,,,,
12/02/1992,115.31,,,,,,,,
13/02/1992,115.29,,,,,,,,
14/02/1992,114.21,,,,,,,,
17/02/1992,112.84,,,,,,,,
18/02/1992,112.1,,,,,,,,
