date,spot,futures
Feb-02,1106.73,1130.2
Mar-02,1147.39,1119.5
Apr-02,1076.92,1144
May-02,1067.14,1052.8
Jun-02,989.82,1056.5
Jul-02,911.62,969.3
Aug-02,916.07,889
Sep-02,815.28,908.5
Oct-02,885.76,847.5
Nov-02,936.31,901.5
Dec-02,879.82,932.2
Jan-03,855.7,879.9
Feb-03,841.15,857
Mar-03,848.18,844.4
Apr-03,916.92,856.2
May-03,963.59,915.2
Jun-03,974.5,966.5
Jul-03,990.31,981
Aug-03,1008.01,978.7
Sep-03,995.97,1012.3
Oct-03,1050.71,997.8
Nov-03,1058.2,1047.6
Dec-03,1111.92,1069.2
Jan-04,1131.13,1109.2
Feb-04,1144.94,1133.9
Mar-04,1126.21,1155.7
Apr-04,1107.3,1130.3
May-04,1120.68,1105
Jun-04,1140.84,1120.9
Jul-04,1101.72,1129
Aug-04,1104.24,1105.6
Sep-04,1114.58,1106
Oct-04,1130.2,1132
Nov-04,1173.82,1130.5
Dec-04,1211.92,1191.5
Jan-05,1181.27,1211.3
Feb-05,1203.6,1189
Mar-05,1180.59,1211.2
Apr-05,1156.85,1173.5
May-05,1191.5,1162.7
Jun-05,1191.33,1201.2
Jul-05,1234.18,1199.5
Aug-05,1220.33,1237.2
Sep-05,1228.81,1222.8
Oct-05,1207.01,1235.5
Nov-05,1249.48,1205
Dec-05,1248.29,1266.7
Jan-06,1280.08,1275.5
Feb-06,1280.66,1285.5
Mar-06,1294.87,1292.5
Apr-06,1310.61,1307.5
May-06,1270.09,1318.4
Jun-06,1270.2,1286.5
Jul-06,1276.66,1282
Aug-06,1303.82,1275.5
Sep-06,1335.85,1312.8
Oct-06,1377.94,1340.8
Nov-06,1400.63,1373
Dec-06,1418.3,1398.4
Jan-07,1438.24,1437.6
Feb-07,1406.82,1450.7
Mar-07,1420.86,1404.9
Apr-07,1482.37,1434.7
May-07,1530.62,1501.7
Jun-07,1503.35,1540.7
Jul-07,1455.27,1531.5
