ln_gdp,ln_export
10.4131,22.28089
10.00738,21.19603
10.07224,19.60756
10.07665,20.62263
10.18898,19.35038
10.01493,21.24017
10.03695,21.84852
9.988757,20.96802
10.6917,17.6768
10.09876,20.89994
10.20583,19.63306
10.07049,20.05274
10.18164,20.15287
10.20005,21.20971
10.11356,21.71742
10.07711,19.35786
9.589738,17.84291
10.11767,16.41352
10.18039,19.92029
9.675546,18.7983
9.800728,20.26061
8.829385,18.86465
10.14875,19.70433
9.842444,18.23258
8.928168,19.00742
9.306237,18.8762
7.909896,15.45793
8.880447,19.6611
9.202866,18.53873
